ticker_wiki,nombre,sector_icb,pais,sede
SCHP,Schindler Group,Industrial Goods and Services,Switzerland,Ebikon
UHR,Swatch Group,Consumer Products and Services,Switzerland,Biel/Bienne
LOGN,Logitech,Technology,Switzerland,Lausanne
HELN,Helvetia Insurance,Insurance,Switzerland,St. Gallen
BALN,Baloise,Insurance,Switzerland,Basel
GALE,Galenica,Health Care,Switzerland,Bern
EMSN,Ems-Chemie,Chemicals,Switzerland,Domat/Ems
ABBN,ABB Ltd,Industrial Goods and Services,Switzerland,Zurich
ABN,ABN AMRO,Banks,Netherlands,Amsterdam
AC,Accor,Travel and Leisure,France,Issy-les-Moulineaux
ACS,ACS Group,Construction and Materials,Spain,Madrid
ADEN,Adecco,Industrial Goods and Services,Switzerland,Zurich
ADS,Adidas,Consumer Products and Services,Germany,Herzogenaurach
ADM,Admiral Group,Insurance,United Kingdom,Cardiff
ADYEN,Adyen,Industrial Goods and Services,Netherlands,Amsterdam
AENA,Aena,Travel and Leisure,Spain,Madrid
